PATH,ROW,astext
150,76,"POLYGON((60.8170261135574 -23.9270747460576,60.8045716523676 -23.9806953718158,60.7996 -24.0021,60.7995305874963 -24.0020899163745,59.0064 -23.7416,59.0172366481438 -23.6974635387732,59.3652069466412 -22.2802192595513,59.3782 -22.2273,61.1519166944966 -22.4848879019632,61.152 -22.4849,61.1454589989261 -22.5130611998564,61.1345612078262 -22.5599798396313,60.8170261135574 -23.9270747460576))"
150,77,"POLYGON((60.477576030856 -25.3684819949902,60.4693436910079 -25.4034204784652,60.4599 -25.4435,60.4597577903566 -25.4434793414846,58.6467 -25.1801,58.6599148791004 -25.1272230128435,59.0172366481438 -23.6974635387732,59.0249 -23.6668,60.8170261135574 -23.9270747460576,60.8172 -23.9271,60.8045716523676 -23.9806953718158,60.7995305874963 -24.0020899163745,60.477576030856 -25.3684819949902))"
150,78,"POLYGON((60.1329291605692 -26.8092751897582,60.122572965871 -26.8525530621155,60.115 -26.8842,60.1148750743352 -26.8841818548672,58.2802 -26.6177,58.2910586109729 -26.5750772041645,58.6599148791004 -25.1272230128435,58.6655 -25.1053,60.477576030856 -25.3684819949902,60.4777 -25.3685,60.4693436910079 -25.4034204784652,60.4597577903566 -25.4434793414846,60.1329291605692 -26.8092751897582))"
150,79,"POLYGON((59.7826351691636 -28.2492760570493,59.7732702322894 -28.2877543398558,59.7644 -28.3242,59.7642438766085 -28.3241773209347,57.9064 -28.0543,57.913394666045 -28.0274016824584,58.2910586109729 -26.5750772041645,58.2994 -26.543,60.1329291605692 -26.8092751897582,60.1331 -26.8093,60.122572965871 -26.8525530621155,60.1148750743352 -26.8841818548672,59.7826351691636 -28.2492760570493))"
150,80,"POLYGON((59.4261461009371 -29.688463121485,59.4126214285456 -29.7430376257515,59.4076 -29.7633,59.4075057327142 -29.7632863072374,57.5247 -29.4898,57.5328269818126 -29.4592235975749,57.913394666045 -28.0274016824584,57.9261 -27.9796,59.7826351691636 -28.2492760570493,59.7828 -28.2493,59.7732702322894 -28.2877543398558,59.7642438766085 -28.3241773209347,59.4261461009371 -29.688463121485))"
150,81,"POLYGON((59.0630048896162 -31.1268716480064,59.0534011275918 -31.1648847599481,59.0441 -31.2017,59.0439110378639 -31.2016725417643,57.1344 -30.9242,57.1462208629318 -30.8807358621733,57.5328269818126 -29.4592235975749,57.5448 -29.4152,59.4261461009371 -29.688463121485,59.4264 -29.6885,59.4126214285456 -29.7430376257515,59.4075057327142 -29.7632863072374,59.0630048896162 -31.1268716480064))"
150,82,"POLYGON((58.6924034132954 -32.564271439156,58.683419942486 -32.5990953421498,58.6731 -32.6391,58.6728741690749 -32.6390671825785,56.7346 -32.3574,56.7427552156816 -32.3281436730794,57.1462208629318 -30.8807358621733,57.1549 -30.8496,59.0630048896162 -31.1268716480064,59.0632 -31.1269,59.0534011275918 -31.1648847599481,59.0439110378639 -31.2016725417643,58.6924034132954 -32.564271439156))"
150,83,"POLYGON((58.3136188829172 -34.0007591525849,58.3014818510385 -34.0467623694775,58.2939 -34.0755,58.2937243912622 -34.0754744773407,56.3247 -33.7893,56.3347478071253 -33.7541816318945,56.7427552156816 -32.3281436730794,56.7557 -32.2829,58.6924034132954 -32.564271439156,58.6926 -32.5643,58.683419942486 -32.5990953421498,58.6728741690749 -32.6390671825785,58.3136188829172 -34.0007591525849))"
150,84,"POLYGON((57.9260907213612 -35.4361695874324,57.9176351521784 -35.4674655556261,57.9059 -35.5109,57.9056095518865 -35.5108577862346,55.9037 -35.2199,55.9148138982881 -35.1821087281439,56.3347478071253 -33.7541816318945,56.3463 -33.7149,58.3136188829172 -34.0007591525849,58.3139 -34.0008,58.3014818510385 -34.0467623694775,58.2937243912622 -34.0754744773407,57.9260907213612 -35.4361695874324))"
150,85,"POLYGON((57.528783168947 -36.8705684793375,57.5206013218682 -36.900091213058,57.5081 -36.9452,57.507768696886 -36.9451518370639,55.4706 -36.649,55.4803649780833 -36.6167539105024,55.9148138982881 -35.1821087281439,55.9259 -35.1455,57.9260907213612 -35.4361695874324,57.9263 -35.4362,57.9176351521784 -35.4674655556261,57.9056095518865 -35.5108577862346,57.528783168947 -36.8705684793375))"
